सवाल,जानकारी और संदर्भ,हमारे विशेषज्ञ क्या कहते हैं,शब्दकोष,यह सवाल कहां से आया,यह प्रश्न किस देश से लिया गया था,अन्य संसाधन / जानकारी,क्या यह उत्तर आपके रहने के आधार पर बदलता है?,"क्या यह उत्तर आपकी नस्ल, जातीयता, आय, आयु, लिंग या अन्य जनसांख्यिकीय कारकों के आधार पर बदलता है?",Category,टैग,अंग्रेजी का प्रश्न,अंतिम बदल गया
क्या सीओवीआईडी ​​-19 के एंटीबायोटिक दवाओं के उपयोग और उपचार के बीच कोई संबंध है?,"

एंटीबायोटिक्स जीवाणुरोधी दवाएं हैं जो या तो बैक्टीरिया के विकास को धीमा या नष्ट कर देती हैं। उनका उपयोग बैक्टीरिया के कारण होने वाले संक्रमण के इलाज के लिए किया जाता है। आप अतिरिक्त संसाधन अनुभाग में वायरस और बैक्टीरिया के बीच अंतर के बारे में अधिक जानकारी प्राप्त कर सकते हैं। COVID-19 रोग एक वायरस के कारण होता है, न कि बैक्टीरिया के कारण। COVID-19 एक बीमारी है जो कोरोनावायरस का एक प्रकार है। कोरोनाविरस वायरस का एक समूह है जो सामान्य सर्दी, गंभीर तीव्र श्वसन सिंड्रोम (SARS) और मध्य पूर्व श्वसन सिंड्रोम (MERS) जैसी बीमारियों का कारण बनता है। क्योंकि वायरस और बैक्टीरिया अलग-अलग होते हैं, जो बीमारियाँ होती हैं, उनका इलाज उसी प्रकार की दवा द्वारा नहीं किया जा सकता है। COVID-19 जैसे वायरल संक्रमण के इलाज के लिए एंटीबायोटिक्स का उपयोग नहीं किया जा सकता है।","
एंटीबायोटिक्स का उपयोग COVID-19 के इलाज के लिए नहीं किया जाता है, लेकिन वे जीवाणु संक्रमण का इलाज कर सकते हैं जो COVID-19 वायरस से जटिलताओं के परिणामस्वरूप हो सकता है। वायरस और जीवाणु संक्रमण विभिन्न प्रकार की बीमारियों का कारण बनते हैं, और एंटीबायोटिक्स केवल जीवाणु संक्रमण के उपचार में प्रभावी होते हैं, COVID-19 जैसे वायरस नहीं। एंटीबायोटिक्स को COVID-19 को रोकने या इलाज के तरीके के रूप में नहीं लिया जाना चाहिए और जब तक कि एक चिकित्सक द्वारा निर्धारित नहीं किया जाना चाहिए। कभी-कभी, एंटीबायोटिक दवाओं का उपयोग COVID-19 के रोगियों में किया जा सकता है, लेकिन केवल द्वितीयक जीवाणु संक्रमण का इलाज करने के लिए।","एंटीबायोटिक दवाओं,वाइरस,द्वितीयक संक्रमण,सह-संक्रमण,जीवाणु",,,"1. Q&A on coronaviruses (COVID-19) (WHO)
2. Epidemiological and clinical characteristics of 99 cases of 2019 novel coronavirus pneumonia in Wuhan, China: a descriptive study (The Lancet)   
3. Rates of Co-infection Between SARS-CoV-2 and Other Respiratory Pathogens (JAMA Network)
4. Difference between a bacteria and a virus (Mayo Clinic) ","नहीं
",नहीं,,"इलाज,निवारण,दवा,वाइरस,जीवाणु संक्रमण,एंटीबायोटिक दवाओं",Is there any relationship between the use of antibiotics and treatment of COVID-19?,5/15/2020
"क्या हाइड्रॉक्सीक्लोरोक्विन सीओवीआईडी ​​-19 को रोक सकता है, इलाज कर सकता है या ठीक कर सकता है?","हाइड्रोक्सीक्लोरोक्वीन वर्तमान में मलेरिया को रोकने या उसके इलाज के लिए एक दवा है, जो एक संक्रामक बीमारी है जो मच्छरों से मनुष्यों में फैल सकती है। जब सीओवीआईडी ​​-19 के लिए उपचार खोजने की कोशिश की गई, तो रोगियों पर हाइड्रोक्सीक्लोरोक्वीन का परीक्षण किया गया। हालांकि, COVID-19 के इलाज के लिए हाइड्रोक्सीक्लोरोक्वीन की सिफारिश करने के लिए पर्याप्त सबूत नहीं हैं। COVID-19 के उपचार में हाइड्रोक्सीक्लोरोक्वीन के उपयोग के कुछ नकारात्मक परिणाम भी सामने आए हैं।","COVID-19 के लिए हाइड्रोक्सीक्लोरोक्वीन के उपयोग पर अध्ययन वर्तमान में मिश्रित, अस्पष्ट और कभी-कभी नकारात्मक साक्ष्य प्रस्तुत कर रहे हैं। इसका मतलब है कि अभी, हाइड्रोक्सीक्लोरोक्वीन एक ज्ञात इलाज नहीं है और निश्चित रूप से एक ज्ञात इलाज नहीं है। अभी शोध अध्ययन हो रहे हैं ताकि पता चल सके कि इस दवा को लेने से लोग वायरस के संपर्क में आने के बाद संक्रमित होने से बच सकते हैं, लेकिन दवा का उपयोग केवल ""दयालु उपयोग"" के लिए किया जाता है, और एक प्रायोगिक उपचार के रूप में। (संयुक्त राज्य अमेरिका में, उदाहरण के लिए, एक दवा का ""दयालु उपयोग"" तब होता है जब संयुक्त राज्य का खाद्य और औषधि प्रशासन (एफडीए) दवा कंपनियों को पारंपरिक नैदानिक​​परीक्षणों के बाहर लोगों को अपनी प्रयोगात्मक दवाएं देने की अनुमति देता है)। COVID-19 के उपचार के लिए हाइड्रोक्सीक्लोरोक्वीन की सिफारिश करने के लिए अब तक के परिणामों में पर्याप्त सबूत नहीं हैं। इसी समय, शोध ने COVID-19 के उपचार में हाइड्रोक्सीक्लोरोक्वीन के उपयोग के कुछ नकारात्मक परिणामों को भी दिखाया है।","दयालु उपयोग,संपर्क से पहले,संपर्क के बाद,प्रोफिलैक्सिस,नैदानिक ​​परीक्षण",,,"1. Investigational therapeutics for patients with COVID-19 (CDC) 
2. Information about ""compassionate use"" (FDA) ","हां - कुछ देशों ने अपने उपचार प्रोटोकॉल में हाइड्रोक्सीक्लोरोक्वीन को शामिल किया है, भले ही विश्व स्वास्थ्य संगठन ने इसे उपचार के रूप में मान्यता नहीं दी है।",नहीं,,"हाइड्रॉक्सीक्लोरोक्विन,निवारण,इलाज","""What does the scientific literature say about using hydroxychloroquine to prevent, treat or cure COVID-19?""",5/15/2020
इस वायरस की शुरुआत कहां से / कैसे हुई?,"कोरोनावीरस वायरस का एक समूह है जो विभिन्न बीमारियों का कारण बन सकता है। इन बीमारियों में सामान्य सर्दी, गंभीर तीव्र श्वसन सिंड्रोम (SARS) और मध्य पूर्व श्वसन सिंड्रोम (MERS) शामिल हैं। कुछ वायरस जानवरों में उत्पन्न हो सकते हैं और बाद में मनुष्यों को संक्रमित कर सकते हैं, और यह कई तरीकों से हो सकता है, जिनमें शामिल हैं: मांस या सब्जियां खाने से जो वायरस द्वारा दूषित हो गई हैं, हवा के माध्यम से या किसी सतह को छूने से संक्रमित जानवर, एक संक्रमित जानवर के साथ या कीट के काटने के माध्यम से संपर्क के माध्यम से। इन सभी तरीकों से सभी वायरस जानवरों से मनुष्यों में स्थानांतरित नहीं होते हैं, यह वायरस पर निर्भर करता है। संसाधन अनुभाग में इसके बारे में अधिक जानकारी है।  ","COVID-19 का पहली बार 2019 के अंत में वुहान शहर, चीन में पता चला था। शहर में एक बड़े समुद्री भोजन और पशु बाजार में वायरस का आंशिक रूप से पता लगाया गया है, बाजार में आने के बाद कई लोग COVID-19 से बीमार हो गए थे। वैज्ञानिक इस बात की पुष्टि करने के लिए आनुवंशिक परीक्षणों का उपयोग करने में सक्षम थे कि वायरस की पहचान पहले वुहान शहर के लोगों और पर्यावरण के नमूनों में हुई थी। वायरस के आनुवांशिकी पर टेस्ट, मनुष्यों में आनुवांशिकी की तरह, अपनी उत्पत्ति के बारे में बहुत कुछ बता सकते हैं। जब ये आनुवांशिक परीक्षण COVID-19 वायरस के जीन पर किए गए, तो यह पता चला कि वायरस एक संक्रमित जानवर में उत्पन्न हुआ और उत्परिवर्तित हुआ जब उस जानवर ने वायरस को मानव, वुहान शहर के बड़े समुद्री भोजन और पशु बाजार में स्थानांतरित किया। उस घटना के बारे में विवरण, जिसे ""ज़ूनोटिक ट्रांसफ़र"" कहा जाता है, का अभी भी अध्ययन किया जा रहा है क्योंकि COVID-19 के पुष्टि मामलों के साथ अन्य लोग बाजार में नहीं गए थे, लेकिन हम परीक्षण से जानते हैं कि यह पहली बार वुहान, चीन में पहचाना गया था ।","जीनोमिक विश्लेषण,ज़ूनोटिक स्थानांतरण",,,"1. Genomic analysis findings for origin of COVID-19 (NIH) 
2. Zoonotic diseases description (CDC) 
3. Background on COVID-19 origin (CDC) 
4. COVID-19 information page (CDC) 
5. Research article: COVID-19: a novel zoonotic disease caused by a coronavirus from China: what we know and what we don’t (NCBI)
","नहीं
",नहीं,,"मूल,चमगादड़,चीन,वुहान",What are the origins of the virus?,5/15/2020
क्या सीओवीआईडी ​​-19 को ऐसे व्यक्ति द्वारा प्रेषित किया जा सकता है जो कोई लक्षण नहीं दिखाता है?,"वायरस से संक्रमित होने और लक्षण दिखाने के बीच के समय को ""ऊष्मायन"" अवधि कहा जाता है। इस अवधि के दौरान, शरीर में वायरस बढ़ रहा है, और बहुत अधिक वायरस होने के बाद, लोग लक्षण दिखा सकते हैं।","हाँ। वर्तमान साक्ष्यों के अनुसार, यह माना जाता है कि जिन लोगों में कोई लक्षण नहीं है, जिनके पास या तो कोई लक्षण नहीं है या वे अभी तक लक्षण नहीं दिखा रहे हैं, COVID-19 के प्रसार में एक प्रमुख भूमिका निभा रहे हैं। इसका मतलब है कि लक्षण-आधारित स्क्रीनिंग अकेले सभी संक्रामक मामलों का पता लगाने और सीओवीआईडी ​​-19 के प्रसार को नियंत्रित करने की संभावना नहीं है। COVID -19 की ""ऊष्मायन अवधि"", जो किसी व्यक्ति के वायरस के संपर्क में आने और उनके लक्षणों के पहले संकेत (यदि वे किसी भी समय विकसित होते हैं) के बीच की अवधि 5 से 14 दिनों तक होती है। कुछ लोगों में यह लक्षण होने से पहले 5-14 दिन के ऊष्मायन अवधि के दौरान संक्रामक हो सकता है, जिससे वे मामले ""पूर्व-लक्षणमय"" हो सकते हैं। अन्य लोग कभी भी लक्षण नहीं दिखा सकते हैं और उन्हें ""स्पर्शोन्मुख"" कहा जाता है। स्पर्शोन्मुख लोग पूरे समय संक्रामक बने रहते हैं जब तक कि वे वायरस से संक्रमित नहीं होते हैं जब तक कि उनका शरीर इसे साफ नहीं करता है।","ऊष्मायन अवधि,संक्रामक,स्पर्शोन्मुख,पूर्व रोगसूचक",,,1. COVID-19 situation report (WHO) ,"नहीं
",नहीं,,"स्पर्शोन्मुख,फैलाव,संक्रमण,लक्षण,रोग-संचार",Can COVID-19 be transmitted by a person who shows no symptoms?,5/15/2020
क्या सीओवीआईडी ​​-19 का प्रसार गर्मियों में कम होगा?,"कुछ वायरस, जैसे कि सामान्य सर्दी और फ्लू, मौसम के ठंडे होने पर तेजी से फैलते हैं। शोधकर्ताओं ने जांच की है कि तापमान और आर्द्रता से अन्य वायरस के प्रसार को कैसे प्रभावित किया जा सकता है, लेकिन हम अभी तक नहीं जानते कि COVID-19 गर्म महीनों में कैसे कार्य करेगा।","यह स्पष्ट नहीं है कि गर्मी के महीनों में COVID-19 का प्रसार कम हो जाएगा। कुछ वायरस, जैसे कि सामान्य सर्दी और फ्लू का कारण बनते हैं, गर्म मौसम में आसानी से नहीं फैलते हैं। हमें यकीन नहीं है कि COVID-19 बदलते तापमान पर कैसे प्रतिक्रिया देगा। अभी, हम केवल अनुमान लगा सकते हैं कि वायरस गर्म मौसम में कैसे कार्य करेगा।",इंफ्लुएंजा,,,1. COVID-19 Resource Center (Harvard) ,,,,"गर्मियों में संचरण,संक्रमण,मौसम-तत्व,प्रतिमान,प्रवृत्तियों",Will transmission of COVID-19 slow down in the summer?,5/15/2020
क्या दस्ताने पहनने से सीओवीआईडी ​​-19 का प्रसार रुक जाता है?,"बाँझ दस्ताने, जब ठीक से पहना जाता है और ठीक से फेंक दिया जाता है, तो संक्रामक बीमारी से बचाने में मददगार हो सकता है। हालांकि, अगर कोई व्यक्ति अपने दस्ताने सही ढंग से नहीं पहन रहा है, उन्हें सही तरीके से नहीं डाल रहा है, या उन्हें सही तरीके से नहीं फेंक रहा है, तो यह मदद नहीं करता है। यह याद रखना महत्वपूर्ण है कि किसी भी रोगाणु जो किसी व्यक्ति के दस्ताने पर हैं, फिर किसी अन्य सतह पर स्थानांतरित किया जा सकता है जो दस्ताने छूते हैं। यह लोगों को यह भी विश्वास दिला सकता है कि वे सुरक्षित हैं जब वे नहीं हैं। दस्ताने पहनते समय वे अधिक लापरवाह हो सकते हैं, और सतहों और वस्तुओं को अधिक स्वतंत्र रूप से छू सकते हैं, फिर उनके चेहरे को छू सकते हैं, जो उन्हें वायरस को उजागर कर सकते हैं। दस्ताने पहनना केवल तभी प्रभावी होता है जब उन्हें ठीक से पहना जाए। यदि नहीं, तो यह आपको वायरस के खतरे में डाल सकता है।","यह करता है, लेकिन केवल अगर आप ठीक से दस्ताने पहनते हैं। COVID-19 को नमी की छोटी बूंदों (बूंदों) के माध्यम से मुख्य रूप से फैलने के लिए माना जाता है जो COVID-19 खाँसी, बातचीत या छींक से संक्रमित व्यक्ति द्वारा जारी किया जाता है। फिर वे बूंदें लोगों के चेहरे, सतहों और आस-पास की वस्तुओं पर उतर सकती हैं। जबकि साबुन और पानी से हाथ धोने के 20 सेकंड के रूप में प्रभावी नहीं है, नए और बाँझ दस्ताने पहनने और उन्हें सही ढंग से निपटाने से आप अपने नंगे हाथों से एक संक्रमित सतह या वस्तु को छूने से बच सकते हैं। लेकिन ध्यान रखें कि दस्ताने केवल संक्रमण को रोक सकते हैं यदि आप अपने चेहरे को अपने हाथों से नहीं छूते हैं, और यदि आप अपने हाथों को धोने से पहले सही ढंग से दस्ताने उतारते हैं। देखभाल करने वाले लोगों के साथ, या संपर्क में आने वाले लोगों के लिए, जो COVID-19 से संक्रमित हैं, दस्ताने पहनने से यह सुनिश्चित करने में मदद मिल सकती है कि देखभाल करने वाला व्यक्ति के शरीर से आने वाले खतरनाक पदार्थों को नहीं छूता है, जैसे छींक, मूत्र से बलगम। रक्त, मल, या अन्य तरल पदार्थ। यदि आप अधिक लोगों को COVID-19 के प्रसार को रोकने के लिए दस्ताने पहने हुए हैं तो संभव है कि कुछ सतहों और वस्तुओं को छूने के लिए याद रखना महत्वपूर्ण है। याद रखें कि COVID-19 से फैलने या संक्रमित होने से बचाने का सबसे अच्छा तरीका है कि आप 20 सेकंड के लिए अपने हाथों को धोएं, दूसरों से कम से कम छह फीट दूर रहें, और अपने घर और कार में अक्सर नियमित रूप से धुलाई और कीटाणुनाशक करें।",बाँझ,,,"1. How COVID-19 spreads (CDC) 
2. Information about the use of gloves (WHO) 
3. Information about hand hygiene (WHO) ","नहीं
",नहीं,,"ड्रॉप,छोटी बूंद,दस्ताने,फैलाव,निवारण,हाथ धोना",Does wearing gloves protect against or stop the spread of COVID-19?,5/15/2020
सीओवीआईडी ​​-19 और प्रतिरक्षा प्रणाली पर विटामिन सी का क्या प्रभाव है?,"विटामिन सी एक विटामिन है जो कुछ खाद्य पदार्थों में स्वाभाविक रूप से मौजूद होता है, और दूसरों में जोड़ा जाता है। विटामिन सी का सेवन करना महत्वपूर्ण है क्योंकि हालांकि, शरीर को कई कारणों से इसकी आवश्यकता होती है, लेकिन ऐसा कुछ नहीं है जिसे मानव शरीर आसानी से अपना बना सकता है। इसके बारे में अधिक जानकारी अतिरिक्त संसाधन अनुभाग में उपलब्ध है।","विटामिन C आपको COVID-19 से बीमार होने से नहीं रोक सकता। यह न तो वायरस के लिए एक इलाज है और न ही एक रोकथाम विधि है। नियमित रूप से विटामिन सी लोगों को मिलने वाले जुकाम की संख्या को कम करने के लिए कभी साबित नहीं हुआ है। यह उस समय की लंबाई को कम करने में मदद कर सकता है जब कोई व्यक्ति ठंड से बीमार होता है, साथ ही एक ठंड की गंभीरता भी होती है, लेकिन उस पर शोध अभी भी अस्पष्ट है। अभी, दुनिया भर के अध्ययन यह निर्धारित करने की कोशिश कर रहे हैं कि क्या विटामिन सी सीओवीआईडी​​-19 वाले लोगों की मदद कर सकता है, लेकिन कोई सबूत नहीं दिखाता है कि विटामिन सी लेने से उन लोगों पर असर पड़ सकता है जिनके पास वायरस है।",एंटीऑक्सीडेंट,,,"1. Debunk of COVID-19 myths around the use of supplements (Mayo Clinic) 
2. Research study: Vitamin C and the common cold (NCBI)  https://www.ncbi.nlm.nih.gov/pubmed/29099763
3. Research study: Vitamin C and the immune system (NCBI) 
4. General information about Vitamin C (Mayo Clinic) 
","नहीं
",नहीं,,"विटामिन सी,निवारण,प्रतिरक्षा तंत्र",What is the impact of Vitamin C on COVID-19?,5/15/2020
सीओवीआईडी ​​-19 के यौन संचरण के बारे में नवीनतम शोध क्या है?,"ऐसे कई तरीके हैं जिनसे वायरस फैलता है। कुछ वायरस शारीरिक संपर्क या स्पर्श के माध्यम से, लार के रूप में या हवा के माध्यम से फैल सकते हैं। अन्य वायरस टिक्स या मच्छरों के काटने से फैल सकते हैं, जो वायरस ले जाते हैं, या भोजन और पानी के माध्यम से जो दूषित होते हैं। कुछ अन्य वायरस यौन संपर्क के माध्यम से, या सुइयों को साझा करने से फैल सकते हैं जो शारीरिक तरल पदार्थों द्वारा दूषित हो गए हैं।","अभी उपलब्ध सबूतों के आधार पर, विशेषज्ञों को यह नहीं पता है कि सीओवीआईडी ​​-19 व्यक्ति से दूसरे व्यक्ति में यौन रूप से फैल सकता है या नहीं। हम जानते हैं, अब तक, कि सभी सबूत श्वसन से खांसी और छींकने जैसी चीजों से फैलते हैं। यौन प्रसार के कोई भी मामले दर्ज नहीं किए गए हैं। इसके आस-पास कुछ भ्रम हो सकता है क्योंकि COVID-19 का कारण बनने वाले वायरस के निशान 38 पुरुषों में से 6 के वीर्य के नमूनों में पाए गए थे जिन्होंने एक शोध अध्ययन में नमूने प्रदान किए थे। अध्ययन के अनुसार, छह लोगों में से चार अभी भी संक्रमित थे, जबकि दो ठीक हो रहे थे। इसका मतलब यह नहीं है कि सीओवीआईडी ​​-19 व्यक्ति से दूसरे व्यक्ति में यौन रूप से फैलता है। वायरस के निशान अन्य शारीरिक तरल पदार्थों और मल के नमूनों में भी पाए गए हैं, लेकिन यह स्पष्ट नहीं है कि क्या वायरस एक व्यक्ति से दूसरे व्यक्ति में यौन रूप से फैल सकता है।",फैलाव,,,"1. Research paper: A study to examine the prevalence of SARS-CoV-2, the virus responsible for COVID-19, in semen (JAMA) ","नहीं
",नहीं,,"वीर्य,एसटीडी,एसटीआई,यौन संचरण,कोविड -19",What is the latest research regarding sexual transmission of COVID-19?,5/15/2020
सनबाथिंग और सीओवीआईडी ​​-19 के आसपास नवीनतम शोध क्या है?,"पराबैंगनी या यूवी विद्युत चुम्बकीय विकिरण का एक रूप है, जो सूर्य के प्रकाश में मौजूद है। यूवी प्रकाश के तीन अलग-अलग प्रकार हैं, जिनमें से एक, यूवीसी में तीनों की सबसे अधिक ऊर्जा है, और इसकी ऊर्जा वायरस के अंदर आनुवंशिक सामग्री (जो प्रजनन, विकास या व्यवहार को नियंत्रित करती है) को नष्ट कर सकती है। सूर्य का प्रकाश यूवी विकिरण, यूवीए और यूवीबी के दो प्रकारों के साथ-साथ एक तीसरे प्रकार का उत्सर्जन करता है जो ओजोन परत में प्रवेश नहीं करता है: यूवीसी। UVC का उपयोग अस्पताल की सेटिंग में दूषित सतहों को कीटाणुरहित करने के लिए किया जाता है, लेकिन शोध से यह संकेत नहीं मिलता है कि सामान्य धूप पर्याप्त रूप से दूषित वस्तुओं जैसे मास्क को कीटाणुरहित कर सकती है। सूर्य के प्रकाश के माध्यम से आइटम कीटाणुरहित करने में बहुत लंबा समय लगेगा, और यह नियमित घरेलू सामानों कीटाणुरहित करने के लिए अनुशंसित समाधान नहीं है।","यह बताना जल्दबाजी होगी कि UV किरणों के संपर्क में COVID-19 का प्रभाव पड़ता है या नहीं। यह निर्धारित करने के लिए पर्याप्त अध्ययन नहीं किए गए हैं कि सूरज की रोशनी सीओवीआईडी ​​-19 का कारण बनने वाले वायरस को प्रभावी ढंग से मार सकती है या नहीं। जबकि चीन में कुछ स्वास्थ्य विशेषज्ञ पराबैंगनी विकिरण के प्रभाव कीटाणुनाशक के रूप में अध्ययन कर रहे हैं, अधिकांश विशेषज्ञ सहमत हैं कि यूवी किरणों और वायरस पर शुरुआती अध्ययनों में बहुत अनिश्चितता है। मौसमी पैटर्न का विश्लेषण करने वाले एक विशेष अध्ययन में पाया गया कि पराबैंगनी प्रकाश कम COVID-19 विकास दर के साथ सबसे मजबूती से जुड़ा था। इस अध्ययन को न्यूयॉर्क टाइम्स जैसे आउटलेट्स में चित्रित किया गया था और बाद में COVID-19 के संभावित उपचार के रूप में धूप सेंकने की प्रभावशीलता के बारे में और प्रश्न पूछे गए। सबसे महत्वपूर्ण बात, लोगों को COVID -19 से बचने या उसके इलाज के लिए किसी भी प्रयास में धूप में जाने से बचना चाहिए। लंबे समय तक सूर्य के प्रकाश के संपर्क में रहने से बहुत नुकसान हो सकता है और त्वचा कैंसर का खतरा बढ़ सकता है। अभी तक, COVID-19 पर धूप सेंकने का कोई स्पष्ट लाभ नहीं है।",पराबैंगनी (यूवी),,,"1. A pre-print study about the growth rate of COVID-19 and different seasons (medRxiv) 
2. A pre-print study about decontamination and COVID-19 (medRxiv) 
","नहीं
",नहीं,,,What is the latest research around sunbathing and COVID-19?,5/15/2020
सीओवीआईडी ​​-19 के लिए बीसीजी सुरक्षात्मक के साथ टीका लगाया जा रहा है?,"बीजीसी वैक्सीन, या बेसिल कैलमेट-गुएरिन वैक्सीन, तपेदिक (टीबी) रोग के लिए एक टीका है। इस वैक्सीन का उपयोग कई देशों में किया जाता है, जिनमें तपेदिक की उच्च दर होती है ताकि बीमारी को रोकने और व्यापक रूप से फैलने से रोका जा सके। जैसा कि सार्वजनिक स्वास्थ्य शोधकर्ताओं ने सह-सहारा अफ्रीका में और सीओवीआईडी ​​-19 से दक्षिण-पूर्व एशिया के कुछ हिस्सों में कम मामले की संख्या और मृत्यु की संख्या को समझने और समझने की कोशिश की, कुछ लोग सोच रहे हैं कि क्या बीसीजी वैक्सीन कोरोनोवायरस के खिलाफ प्रतिरक्षा प्रदान करता है क्योंकि देशों में आ बीसीजी वैक्सीन का उपयोग किया जाता है और उन देशों में सीओवीआईडी ​​-19 मामलों की संख्या की सूचना दी जाती है। 13 मई को इस विषय पर प्रकाशित नवीनतम अध्ययन इस विचार का समर्थन नहीं करता है कि बचपन में बीसीजी टीकाकरण का वयस्कता में COVID-19 के खिलाफ सुरक्षात्मक प्रभाव पड़ता है। अधिक अध्ययन चल रहे हैं।","कई अध्ययन विभिन्न देशों में BCG टीकाकरण नीतियों और COVID-19 मामलों और मौतों की अपेक्षाकृत कम संख्या के बीच की कड़ी की खोज कर रहे हैं। इज़राइल में किए गए नवीनतम अध्ययन और 13 मई को इस विषय पर प्रकाशित इस विचार का समर्थन नहीं करता है कि बचपन में बीसीजी टीकाकरण का वयस्कता में सीओवीआईडी ​​-19 के खिलाफ सुरक्षात्मक प्रभाव पड़ता है। साक्ष्य के अभाव में, WHO COVID-19 की रोकथाम के लिए बीसीजी टीकाकरण की सिफारिश नहीं करता है। अधिक अध्ययन चल रहे हैं।","बेकल कैलमेट-गुएरिन टीका,यक्ष्मा",,,"1. Research paper: SARS-CoV-2 rates in BCG-vaccinated and -unvaccinated young adults (JAMA) 
2. Scientific brief: BCG vaccination and COVID-19 (WHO) 
News article: BCG and COVID-19 (Forbes) ","नहीं
",नहीं,,निवारण,Is being vaccinated with BCG protective for COVID-19?,5/15/2020